City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Aginskoye,RU,51.1,114.53,36.18,59,0,3.33,clear sky
80,Valdez,EC,1.2492,-78.9831,77.25,83,99,4.32,overcast clouds
81,Cape Town,ZA,-33.9258,18.4232,65.1,66,75,10.0,light rain
82,Muroran,JP,42.3172,140.9881,47.28,70,19,12.64,few clouds
83,Khatanga,RU,71.9667,102.5,8.38,93,100,7.38,overcast clouds
84,Imbituba,BR,-28.24,-48.6703,77.83,58,0,6.11,clear sky
85,Chuy,UY,-33.6971,-53.4616,67.19,58,4,1.52,clear sky
86,Bolgatanga,GH,10.7856,-0.8514,98.76,32,13,4.05,few clouds
87,Codrington,AU,-38.2667,141.9667,53.38,90,100,9.4,overcast clouds
88,Nikolskoye,RU,59.7035,30.7861,47.88,65,100,18.32,light rain
89,Saint-Philippe,RE,-21.3585,55.7679,81.48,80,81,4.94,light rain
90,Yei,SS,4.095,30.6779,81.68,65,83,1.95,light rain
91,Durban,ZA,-29.8579,31.0292,93.92,35,100,12.8,overcast clouds
92,Nasirabad,IN,26.3,74.7333,77.67,47,0,6.67,clear sky
93,Salinas,US,36.6777,-121.6555,62.53,88,90,17.27,overcast clouds
94,Pinega,RU,64.7001,43.3936,32.52,97,100,9.89,snow
95,Haines Junction,CA,60.7522,-137.5108,30.15,93,100,1.14,overcast clouds
96,Salamiyah,SY,35.0113,37.0532,79.09,25,4,0.6,clear sky
97,Khani,GE,41.9563,42.9566,67.57,58,0,0.89,clear sky
98,Alamogordo,US,32.8995,-105.9603,63.01,52,1,5.75,clear sky
99,Xuddur,SO,4.1213,43.8894,79.59,62,65,5.97,light rain
100,Coihaique,CL,-45.5752,-72.0662,48.15,49,40,9.22,scattered clouds
101,Lasa,IT,46.6166,10.7002,62.02,54,39,2.1,scattered clouds
102,Labrea,BR,-7.2586,-64.7981,84.87,65,100,3.85,overcast clouds
103,Saskylakh,RU,71.9167,114.0833,-5.69,100,99,1.68,overcast clouds
104,Husavik,IS,66.0449,-17.3389,31.91,65,100,8.66,overcast clouds
105,Hasaki,JP,35.7333,140.8333,52.29,87,100,27.56,overcast clouds
106,Bowen,AU,-20.0167,148.2333,77.79,82,58,8.81,broken clouds
107,Padang,ID,-0.9492,100.3543,78.85,85,100,4.07,light rain
108,Sinnamary,GF,5.3833,-52.95,83.08,75,100,9.8,overcast clouds
109,Yaan,NG,7.3833,8.5667,83.14,69,90,4.79,overcast clouds
110,Nouadhibou,MR,20.931,-17.0347,80.58,61,5,10.36,clear sky
111,Seoul,KR,37.5683,126.9778,53.04,57,0,5.75,clear sky
112,Roma,US,43.2128,-75.4557,53.96,94,90,14.97,mist
113,Juneau,US,58.3019,-134.4197,46.09,97,90,0.0,fog
114,Tiznit,MA,29.5833,-9.5,78.4,37,0,8.86,clear sky
115,Ponta Do Sol,PT,32.6667,-17.1,73.71,70,86,6.6,overcast clouds
116,Gushikawa,JP,26.3544,127.8686,72.63,57,90,11.5,overcast clouds
117,Mabopane,ZA,-25.4977,28.1007,79.66,20,14,18.41,few clouds
118,Buala,SB,-8.145,159.5921,80.69,80,95,6.96,light rain
119,Meulaboh,ID,4.1363,96.1285,77.29,89,100,8.03,overcast clouds
120,Las Palmas,ES,28.4204,-14.0131,72.39,60,75,12.66,broken clouds
121,Nehe,CN,48.4833,124.8333,40.17,63,9,7.2,clear sky
122,Dingle,PH,10.9995,122.6711,75.52,94,100,7.81,overcast clouds
123,Leningradskiy,RU,69.3833,178.4167,6.46,85,100,8.57,overcast clouds
124,Saldanha,ZA,-33.0117,17.9442,64.45,66,100,23.58,overcast clouds
125,Kapaa,US,22.0752,-159.319,75.52,93,90,8.05,light rain
126,Cowansville,CA,45.2001,-72.7491,58.39,95,100,12.66,light rain
127,Christchurch,NZ,-43.5333,172.6333,52.92,78,100,1.01,overcast clouds
128,Ilinge,ZA,-31.9768,27.0427,73.9,20,95,23.78,overcast clouds
129,Aktash,RU,50.3,87.7333,25.77,73,100,3.09,overcast clouds
130,Georgetown,MY,5.4112,100.3354,84.15,80,20,5.75,few clouds
131,Nantucket,US,41.2835,-70.0995,68.97,88,100,25.66,overcast clouds
132,Lata,PT,40.1629,-8.3327,71.35,34,0,8.57,clear sky
133,Severo-Kurilsk,RU,50.6789,156.125,38.23,73,33,10.04,scattered clouds
134,North Bend,US,43.4065,-124.2243,53.85,97,90,9.22,overcast clouds
135,East London,ZA,-33.0153,27.9116,67.14,82,20,17.27,few clouds
136,Obo,CF,5.3998,26.4869,82.83,66,96,3.29,light rain
137,Port-Gentil,GA,-0.7193,8.7815,85.96,70,40,14.97,scattered clouds
138,Nautla,MX,20.2167,-96.7833,74.1,89,100,8.37,overcast clouds
139,Tiksi,RU,71.6872,128.8694,4.37,97,100,2.93,overcast clouds
140,Lazaro Cardenas,MX,17.9583,-102.2,77.9,86,100,3.96,overcast clouds
141,Ramotswa,BW,-24.8716,25.8699,83.82,20,51,17.27,broken clouds
